title,url,property_type,address,district,city,area_text,bedrooms,bathrooms,price_text,posted_at
Cực đẹp | Bán mặt phố Đại La | 40m2 | Mặt tiền 5m | Giá 30.5 tỷ,https://mogi.vn/quan-hai-ba-trung/mua-nha-mat-tien-pho/cuc-dep-ban-mat-pho-dai-la-40m2-mat-tien-5m-gia-30-5-ty-id22719776,nha_mat_pho,"Quận Hai Bà Trưng, Hà Nội",Quận Hai Bà Trưng,Hà Nội,40 m2,3,5,30 tỷ 500 triệu,Hôm nay
Giá tốt đầu tư| 130m2 | Mặt tiền 4.1m | Bán mặt phố Tôn Đức Thắng,https://mogi.vn/quan-dong-da/mua-nha-mat-tien-pho/gia-tot-dau-tu-130m2-mat-tien-4-1m-ban-mat-pho-ton-duc-thang-id22721133,nha_mat_pho,"Quận Đống Đa, Hà Nội",Quận Đống Đa,Hà Nội,130 m2,1,1,58 tỷ,Hôm nay
Bán mặt phố Hàng Phèn | Hàng đẹp phố cổ | 52m2 | MT 4.2m | Giá 60 tỷ,https://mogi.vn/quan-hoan-kiem/mua-nha-mat-tien-pho/ban-mat-pho-hang-phen-hang-dep-pho-co-52m2-mt-4-2m-gia-60-ty-id22721194,nha_mat_pho,"Quận Hoàn Kiếm, Hà Nội",Quận Hoàn Kiếm,Hà Nội,52 m2,3,3,60 tỷ,Hôm nay
Siêu phẩm mặt phố Hoàng Như Tiếp | 85m2 | MT 4.5m | Giá 46 tỷ,https://mogi.vn/quan-long-bien/mua-nha-mat-tien-pho/sieu-pham-mat-pho-hoang-nhu-tiep-85m2-mt-4-5m-gia-46-ty-id22721196,nha_mat_pho,"Quận Long Biên, Hà Nội",Quận Long Biên,Hà Nội,85 m2,6,6,46 tỷ,Hôm nay
Bán mặt phố Thanh Nhàn | 48m2 | Mặt tiền 4m | Giá 33 tỷ,https://mogi.vn/quan-hai-ba-trung/mua-nha-mat-tien-pho/ban-mat-pho-thanh-nhan-48m2-mat-tien-4m-gia-33-ty-id22724532,nha_mat_pho,"Quận Hai Bà Trưng, Hà Nội",Quận Hai Bà Trưng,Hà Nội,48 m2,3,3,33 tỷ,Hôm nay
Bán mặt phố Đồng Nhân | 34m2 x 4 tầng | MT 3.4m | Giá chỉ 16.5 tỷ,https://mogi.vn/quan-hai-ba-trung/mua-nha-mat-tien-pho/ban-mat-pho-dong-nhan-34m2-x-4-tang-mt-3-4m-gia-chi-16-5-ty-id22725978,nha_mat_pho,"Quận Hai Bà Trưng, Hà Nội",Quận Hai Bà Trưng,Hà Nội,34 m2,3,3,16 tỷ 500 triệu,Hôm nay
Mặt phố Đông Các | TT Đống Đa | Kinh doanh đỉnh | 60m2 x 5 tầng,https://mogi.vn/quan-dong-da/mua-nha-mat-tien-pho/mat-pho-dong-cac-tt-dong-da-kinh-doanh-dinh-60m2-x-5-tang-id22732247,nha_mat_pho,"Quận Đống Đa, Hà Nội",Quận Đống Đa,Hà Nội,60 m2,6,5,32 tỷ 800 triệu,Hôm nay
Hàng hiếm | Mặt phố Giảng Võ | 50m2 x 5 tầng | MT 4m | Giá 28.5 tỷ,https://mogi.vn/quan-ba-dinh/mua-nha-mat-tien-pho/hang-hiem-mat-pho-giang-vo-50m2-x-5-tang-mt-4m-gia-28-5-ty-id22725994,nha_mat_pho,"Quận Ba Đình, Hà Nội",Quận Ba Đình,Hà Nội,50 m2,4,4,28 tỷ 500 triệu,Hôm nay
Bán mặt phố Tạ Quang Bửu | 30m2 X 5 tầng | MT 4m | Giá 14 tỷ,https://mogi.vn/quan-hai-ba-trung/mua-nha-mat-tien-pho/ban-mat-pho-ta-quang-buu-30m2-x-5-tang-mt-4m-gia-14-ty-id22725991,nha_mat_pho,"Quận Hai Bà Trưng, Hà Nội",Quận Hai Bà Trưng,Hà Nội,30 m2,3,3,14 tỷ,Hôm nay
Cực phẩm Mặt phố Đại La | 70m2 x 7 tầng | Mặt tiền 4.1m | Giá 42 tỷ,https://mogi.vn/quan-hai-ba-trung/mua-nha-mat-tien-pho/cuc-pham-mat-pho-dai-la-70m2-x-7-tang-mat-tien-4-1m-gia-42-ty-id22732248,nha_mat_pho,"Quận Hai Bà Trưng, Hà Nội",Quận Hai Bà Trưng,Hà Nội,70 m2,9,9,42 tỷ,Hôm nay
