area,district,property_type,price,listing_type,price_text
41.0,Quận Hà Đông,dat,2920000000,ban,"2,92 tỷ"
386.0,Huyện Sóc Sơn,dat,1700000000,ban,"1,7 tỷ"
84.0,Huyện Thanh Trì,dat,12900000000,ban,"12,9 tỷ"
82.0,Huyện Thường Tín,dat,5700000000,ban,"5,7 tỷ"
45.0,Huyện Gia Lâm,dat,3600000000,ban,"3,6 tỷ"
37.5,Huyện Thanh Trì,dat,4600000000,ban,"4,6 tỷ"
81.0,Quận Long Biên,dat,13900000000,ban,"13,9 tỷ"
80.0,Quận Long Biên,khac,21900000000,ban,"21,9 tỷ"
150.0,Quận Hà Đông,biet_thu,5400000000,ban,"5,4 tỷ"
70.0,Huyện Sóc Sơn,dat,3600000000,ban,"3,6 tỷ"
126.0,Huyện Sóc Sơn,dat,2500000000,ban,"2,5 tỷ"
100.0,Huyện Sóc Sơn,dat,1111150000,ban,"1,111 tỷ"
37.0,Quận Long Biên,dat,5800000000,ban,"5,8 tỷ"
67.1999,Huyện Đông Anh,dat,3800000000,ban,"3,8 tỷ"
95.0,Huyện Hoài Đức,dat,6300000000,ban,"6,3 tỷ"
81.0,Huyện Thường Tín,dat,5550000000,ban,"5,55 tỷ"
46.0,Quận Long Biên,dat,4300000000,ban,"4,3 tỷ"
40.0,Quận Bắc Từ Liêm,dat,4600000000,ban,"4,6 tỷ"
62.2999,Huyện Chương Mỹ,dat,2300000000,ban,"2,3 tỷ"
46.0,Quận Long Biên,dat,4300000000,ban,"4,3 tỷ"
62.5,Huyện Đông Anh,dat,5750000000,ban,"5,75 tỷ"
818.0,Huyện Mỹ Đức,khac,1200000000,ban,"1,2 tỷ"
85.0,Huyện Quốc Oai,dat,5150000000,ban,"5,15 tỷ"
57.0,Quận Tây Hồ,dat,12900000000,ban,"12,9 tỷ"
61.5,Huyện Thạch Thất,khac,1750000000,ban,"1,75 tỷ"
50.0,Quận Hà Đông,dat,15500000000,ban,"15,5 tỷ"
6000.0,Quận Hoàng Mai,khac,350000,ban,350000 đ/tháng
300.0,Quận Bắc Từ Liêm,khac,750000000,ban,750 triệu
35.0,Huyện Thanh Trì,khac,3850000000,ban,"3,85 tỷ"
107.0,Quận Hoàng Mai,dat,32000000000,ban,32 tỷ
2300.0,Huyện Thạch Thất,dat,18500000000,ban,"18,5 tỷ"
104.0,Huyện Đông Anh,dat,6500000000,ban,"6,5 tỷ"
100.0,Huyện Quốc Oai,dat,3947831325,ban,"3,947 tỷ"
41.0,Huyện Đông Anh,dat,2880000000,ban,"2,88 tỷ"
61.0,Huyện Gia Lâm,dat,5600000000,ban,"5,6 tỷ"
115.0,Huyện Sóc Sơn,khac,3500000000,ban,"3,5 tỷ"
60.0,Huyện Thanh Trì,khac,4700000000,ban,"4,7 tỷ"
80.0,Huyện Chương Mỹ,khac,1400000000,ban,"1,4 tỷ"
78.0,Huyện Sóc Sơn,khac,2150000000,ban,"2,15 tỷ"
60.0,Huyện Sóc Sơn,dat,2600000000,ban,"2,6 tỷ"
56.0,Huyện Đông Anh,dat,4100000000,ban,"4,1 tỷ"
86.0,Huyện Chương Mỹ,dat,1400000000,ban,"1,4 tỷ"
166.0,Quận Long Biên,dat,24000000000,ban,24 tỷ
100.0,Huyện Thường Tín,dat,700000000,ban,700 triệu
74.0,Quận Hà Đông,dat,9900000000,ban,"9,9 tỷ"
66.0,Quận Hai Bà Trưng,dat,11880000000,ban,"11,88 tỷ"
125.0,Huyện Ba Vì,dat,1750000000,ban,"1,75 tỷ"
76.0,Huyện Chương Mỹ,khac,3500000000,ban,"3,5 tỷ"
86.0,Huyện Chương Mỹ,dat,1368000000,ban,"1,368 tỷ"
60.7999,Huyện Thanh Trì,dat,7200000000,ban,"7,2 tỷ"
56.0,Huyện Mê Linh,khac,2500000000,ban,"2,5 tỷ"
58.0,Huyện Mê Linh,dat,3500000000,ban,"3,5 tỷ"
120.0,Huyện Đông Anh,dat,9000000000,ban,9 tỷ
100.0,Huyện Quốc Oai,dat,2300000000,ban,"2,3 tỷ"
60.0,Huyện Thạch Thất,khac,1680000000,ban,"1,68 tỷ"
240.0,Huyện Thanh Oai,dat,13400000000,ban,"13,4 tỷ"
60.0,Thị xã Sơn Tây,dat,2050000000,ban,"2,05 tỷ"
70.0,Thị xã Sơn Tây,khac,1200000000,ban,"1,2 tỷ"
98.0,Huyện Đông Anh,dat,10800000000,ban,"10,8 tỷ"
