area,district,property_type,price,listing_type,price_ty
41.0,Huyện Đông Anh,nha_pho,3750000000,ban,3.75
40.0,Quận Hà Đông,nha_pho,5600000000,ban,5.6
189.0,Quận Bắc Từ Liêm,biet_thu,24000000000,ban,24.0
35.0,Quận Hoàng Mai,dat,10000000000,ban,10.0
45.0,Quận Thanh Xuân,nha_pho,12700000000,ban,12.7
19.0,Quận Thanh Xuân,nha_pho,5000000000,ban,5.0
54.0,Quận Hoàng Mai,nha_pho,33000000000,ban,33.0
35.0,Quận Hoàn Kiếm,nha_pho,10900000000,ban,10.9
32.0,Huyện Thanh Oai,nha_pho,4550000000,ban,4.55
33.0,Quận Cầu Giấy,nha_pho,7980000000,ban,7.98
52.0,Quận Nam Từ Liêm,nha_pho,12600000000,ban,12.6
40.0,Quận Long Biên,nha_pho,7000000000,ban,7.0
58.0,Quận Hai Bà Trưng,nha_pho,10990000000,ban,10.99
55.0,Quận Long Biên,nha_pho,25000000000,ban,25.0
134.5,Quận Đống Đa,nha_pho,130000000000,ban,130.0
120.0,Quận Đống Đa,nha_pho,34900000000,ban,34.9
41.0,Quận Đống Đa,nha_pho,9200000000,ban,9.2
49.0,Quận Hoàng Mai,nha_pho,4900000000,ban,4.9
38.0,Quận Hoàng Mai,nha_pho,12000000000,ban,12.0
37.4,Quận Tây Hồ,nha_pho,8700000000,ban,8.7
45.0,Quận Hà Đông,nha_pho,3750000000,ban,3.75
60.0,Quận Long Biên,nha_pho,21000000000,ban,21.0
39.0,Quận Thanh Xuân,nha_pho,7700000000,ban,7.7
40.0,Huyện Thanh Oai,nha_pho,4000000000,ban,4.0
20.0,Quận Hai Bà Trưng,nha_pho,5350000000,ban,5.35
24.0,Quận Hoàng Mai,nha_pho,6900000000,ban,6.9
40.0,Quận Hoàng Mai,nha_pho,9600000000,ban,9.6
135.0,Huyện Đông Anh,biet_thu,33750000000,ban,33.75
50.0,Quận Long Biên,nha_pho,9000000000,ban,9.0
33.0,Quận Hai Bà Trưng,nha_pho,6900000000,ban,6.9
28.0,Quận Hai Bà Trưng,nha_pho,8200000000,ban,8.2
38.0,Quận Hà Đông,nha_pho,9450000000,ban,9.45
42.0,Quận Long Biên,nha_pho,9100000000,ban,9.1
