property_type,district,area_text,bedrooms,bathrooms,price_text,posted_at,price
nha_mat_pho,Quận Đống Đa,35 m2,5,5,19 tỷ 500 triệu,Hôm nay,19500000000.0
nha_mat_pho,Quận Hoàng Mai,135 m2,3,2,56 tỷ,Hôm nay,56000000000.0
nha_mat_pho,Quận Hai Bà Trưng,45 m2,4,4,25 tỷ,Hôm nay,25000000000.0
nha_mat_pho,Quận Đống Đa,97 m2,8,8,77 tỷ,Hôm nay,77000000000.0
nha_mat_pho,Quận Hai Bà Trưng,64 m2,4,4,55 tỷ,Hôm nay,55000000000.0
nha_mat_pho,Quận Hoàn Kiếm,40 m2,5,5,39 tỷ,Hôm nay,39000000000.0
nha_mat_pho,Quận Hai Bà Trưng,46 m2,4,4,29 tỷ 600 triệu,Hôm nay,29600000000.0
nha_mat_pho,Quận Hoàn Kiếm,34 m2,3,4,30 tỷ,Hôm nay,30000000000.0
nha_mat_pho,Quận Hai Bà Trưng,55 m2,3,3,44 tỷ,Hôm nay,44000000000.0
nha_mat_pho,Quận Ba Đình,46 m2,8,8,31 tỷ,Hôm nay,31000000000.0
nha_mat_pho,Quận Hai Bà Trưng,25 m2,3,4,16 tỷ 500 triệu,Hôm nay,16500000000.0
nha_mat_pho,Quận Cầu Giấy,32 m2,1,1,18 tỷ 500 triệu,Hôm nay,18500000000.0
nha_mat_pho,Quận Hoàng Mai,45 m2,4,5,19 tỷ,Hôm nay,19000000000.0
nha_mat_pho,Quận Hoàng Mai,50 m2,4,5,17 tỷ 900 triệu,Hôm nay,17900000000.0
nha_mat_pho,Quận Đống Đa,45 m2,4,4,37 tỷ 500 triệu,Hôm nay,37500000000.0
nha_mat_pho,Quận Cầu Giấy,67 m2,5,5,52 tỷ,Hôm nay,52000000000.0
nha_pho,Quận Long Biên,30 m2,3,4,3 tỷ 700 triệu,Hôm nay,3700000000.0
nha_pho,Quận Long Biên,34 m2,0,0,2 tỷ 100 triệu,Hôm nay,2100000000.0
nha_pho,Quận Long Biên,35 m2,3,4,3 tỷ 180 triệu,Hôm nay,3180000000.0
nha_pho,Quận Long Biên,31 m2,3,4,3 tỷ,Hôm nay,3000000000.0
nha_pho,Quận Long Biên,35 m2,4,4,3 tỷ 300 triệu,Hôm nay,3300000000.0
nha_pho,Quận Long Biên,41 m2,4,3,4 tỷ 900 triệu,Hôm nay,4900000000.0
nha_pho,Quận Long Biên,35 m2,3,4,4 tỷ 150 triệu,Hôm nay,4150000000.0
nha_pho,Quận Long Biên,30 m2,3,4,4 tỷ 800 triệu,Hôm nay,4800000000.0
nha_pho,Quận Long Biên,40 m2,4,4,4 tỷ 250 triệu,Hôm nay,4250000000.0
nha_pho,Quận Long Biên,60 m2,4,4,6 tỷ 350 triệu,Hôm nay,6350000000.0
nha_pho,Quận Thanh Xuân,66 m2,7,7,16 tỷ 800 triệu,Hôm nay,16800000000.0
nha_pho,Quận Long Biên,33 m2,3,4,3 tỷ 750 triệu,Hôm nay,3750000000.0
nha_pho,Quận Thanh Xuân,45 m2,4,4,11 tỷ,Hôm nay,11000000000.0
nha_pho,Quận Long Biên,30 m2,3,4,3 tỷ 100 triệu,Hôm nay,3100000000.0
nha_mat_pho,Quận Thanh Xuân,80 m2,3,3,21 tỷ 500 triệu,Hôm nay,21500000000.0
